Company,Name,Age,Height,Weight,Salary
A,a1,47,188,63.7,25819
A,a3,39,172,55.9,21983
A,a4,43,158,62.5,21755
A,a6,42,182,76.9,17354
A,a7,49,171,94.6,6177
A,a8,51,168,89.5,3246
A,a9,36,186,62.8,3569
A,a13,58,190,75.9,21854
A,a15,35,162,97.2,4706
A,a16,35,157,77.6,16130
B,b1,49,169,95.9,29223
B,b3,33,185,59.7,5126
B,b5,36,171,68.4,22547
B,b6,46,184,98.9,19493
B,b7,43,167,66.5,26546
B,b9,52,187,80.5,21171
B,b10,37,177,95.6,14376
B,b14,52,181,51.9,11474
B,b15,50,174,72.2,14685
C,c3,37,174,82.8,22429
C,c4,41,190,61.8,19258
C,c5,36,165,84.3,6563
C,c7,32,189,58.1,24791
C,c9,32,176,92.5,11797
C,c10,38,162,82.8,20045
C,c12,42,173,57.4,4319
C,c13,48,183,95,7952
D,d2,52,190,84.7,9382
D,d5,50,173,85.7,14108
D,d6,45,178,92.5,19393
D,d9,52,160,71.8,13531
D,d10,50,155,70.3,21569
D,d11,55,183,93.9,12547
E,e4,37,167,91.3,19171
E,e7,44,164,51.9,13035
E,e8,58,174,68.1,20836
E,e10,57,189,69.4,17070
E,e11,46,172,95.6,14368
E,e13,57,180,54.8,26837
E,e14,39,163,83,20554
