人员编号,姓名,国籍,性别,出生年,出生月,出生日
1,aesfd,2,男,1942,8,10
2,fasefa,5,女,1985,10,4
3,aeagd,4,女,1946,10,15
4,aef,4,男,1999,5,13
5,eaf,1,女,2010,6,24
6,faefdf,1,男,1942,1,21
7,daf,4,女,1957,11,5
8,faefdf,3,男,1998,4,8
9,fs,3,女,1957,4,14
10,faefdffa,3,女,1988,9,15
11,arege,4,男,1933,4,12
12,ase,3,女,1941,6,18
13,fasf,3,男,1987,7,3
14,gfa,5,女,1967,10,3
15,asf,3,男,1990,10,20
16,eter,4,男,2001,2,13
17,esf,4,女,1987,4,28
18,srgdsrg,5,男,1993,8,12
19,aefase,4,男,1935,10,2
20,szf,1,女,1936,6,3
21,eae,2,女,1934,2,28
22,dsrgdrg,4,男,1968,7,4
23,ggase,4,女,1994,9,3
24,hgdrg,1,女,1991,5,27
25,fef,3,男,1945,3,11
26,zsgdrhdth,4,女,1941,7,16
27,gfe,4,女,1977,4,26
28,esfa,4,女,1998,1,3
29,efaeg,3,女,1934,9,18
30,fasef,1,男,1980,6,24
31,sef,4,女,1989,10,26
32,asg,2,女,2009,3,27
33,saef,1,男,1996,6,10
34,sfaefaef,3,女,1943,4,3
35,gdsg,5,女,1981,3,10
36,esfe,3,女,2001,2,27
37,fae,5,男,1960,6,11
38,eafe,3,女,1970,5,12
39,ef,2,女,1940,6,12
40,sdrg,1,男,1940,1,11
41,sfe,5,女,1960,6,27
42,aegaef,5,女,2000,12,14
43,afaege,1,女,1979,1,1
44,feg,2,男,1961,1,18
45,afaege,5,女,1970,2,20
46,sdrg,5,女,1974,8,14
47,aef,1,男,2007,3,4
48,awf,2,男,1975,3,11
49,ae,4,女,1983,5,26
50,sef,1,女,1994,11,27
51,sef,2,男,1933,2,25
52,dth,2,女,1992,12,16
53,dth,2,女,1945,2,26
54,dthjth,5,男,1966,11,24
55,sth,5,男,1996,9,22
56,ft,2,女,1970,8,20
57,tfh,3,女,1944,10,3
58,dfthhdt,1,男,2001,5,23
59,dfthhdtfth,4,女,1931,10,13
60,thd,1,女,1989,4,4
