School,Grade,Name,Gender,Height,Weight,Transfer,Test_Number,Test_Date,Time_Record
Shanghai Jiao Tong University,Freshman,Gaopeng Yang,Female,158.9,46,N,1,2019/10/5,0:04:34
Peking University,Freshman,Changqiang You,Male,166.5,70,N,1,2019/9/4,0:04:20
Shanghai Jiao Tong University,Senior,Mei Sun,Male,188.9,89,N,2,2019/9/12,0:05:22
Fudan University,Sophomore,Xiaojuan Sun,Female,,41,N,2,2020/1/3,0:04:08
Fudan University,Sophomore,Gaojuan You,Male,174,74,N,2,2019/11/6,0:05:22
Tsinghua University,Freshman,Xiaoli Qian,Female,158,51,N,1,2019/10/31,0:03:47
Shanghai Jiao Tong University,Freshman,Qiang Chu,Female,162.5,52,N,1,2019/12/12,0:03:53
Tsinghua University,Junior,Gaoqiang Qian,Female,161.9,50,N,1,2019/9/3,0:03:45
Tsinghua University,Freshman,Changli Zhang,Female,163,48,N,1,2020/1/5,0:05:13
Peking University,Junior,Juan Xu,Female,164.8,,N,3,2019/10/5,0:04:05
Shanghai Jiao Tong University,Freshman,Xiaopeng Zhou,Male,174.1,74,N,1,2019/9/29,0:05:16
Tsinghua University,Junior,Xiaoquan Lv,Female,153.2,43,N,2,2019/9/16,0:04:49
Shanghai Jiao Tong University,Senior,Peng You,Female,,48,,2,2019/10/20,0:04:10
Shanghai Jiao Tong University,Sophomore,Yanfeng Qian,Female,160.1,48,N,2,2019/9/19,0:05:29
Tsinghua University,Senior,Xiaomei Zhou,Female,165.3,57,N,1,2019/12/29,0:05:25
Fudan University,Freshman,Changqiang Yang,Female,156,49,N,3,2020/1/1,0:05:25
Tsinghua University,Junior,Xiaoqiang Qin,Male,170.1,68,N,1,2019/9/11,0:04:51
Tsinghua University,Junior,Peng Wang,Male,162.8,65,N,1,2019/11/2,0:04:53
Tsinghua University,Senior,Xiaofeng Sun,Male,170.3,71,N,2,2019/11/4,0:03:32
Shanghai Jiao Tong University,Senior,Qiang Chu,Female,162.4,50,N,3,2019/9/30,0:03:36
Peking University,Junior,Changjuan You,Female,161.4,47,N,1,2019/10/5,0:04:08
Shanghai Jiao Tong University,Senior,Xiaopeng Shen,Male,166,62,,1,2020/1/2,0:04:54
Shanghai Jiao Tong University,Senior,Changqiang Sun,Female,166.1,55,N,1,2019/11/29,0:05:01
Shanghai Jiao Tong University,Senior,Qiang Zheng,Male,183.9,87,N,1,2019/12/5,0:04:59
Tsinghua University,Senior,Chunmei You,Male,167.4,69,N,1,2019/11/17,0:04:32
Tsinghua University,Senior,Xiaopeng Chu,Female,156.5,42,N,1,2019/11/19,0:04:59
Fudan University,Junior,Yanli You,Female,,48,N,1,2019/9/23,0:03:34
Tsinghua University,Junior,Qiang Sun,Female,163.1,53,N,1,2019/12/11,0:05:08
Fudan University,Freshman,Gaoqiang Qin,Female,170.2,63,N,2,2020/1/7,0:05:24
Peking University,Sophomore,Changmei Xu,Female,151.6,43,N,2,2020/1/3,0:04:28
Peking University,Senior,Changli Lv,Female,148.7,41,N,2,2019/11/13,0:04:54
Shanghai Jiao Tong University,Junior,Feng Zheng,Female,165.6,51,N,1,2019/12/20,0:05:23
Peking University,Freshman,Gaopeng Shi,Female,162.9,48,N,1,2019/9/12,0:04:58
Tsinghua University,Freshman,Yanjuan Han,Female,163.7,49,N,3,2019/11/5,0:04:39
Tsinghua University,Freshman,Li Wu,Female,164.3,51,N,1,2019/10/21,0:04:32
Peking University,Freshman,Gaoli Zhao,Male,175.4,78,N,2,2019/10/8,0:03:32
Peking University,Freshman,Xiaojuan Qin,Male,,79,Y,1,2019/12/10,0:04:10
Fudan University,Sophomore,Xiaoquan Zhang,Female,158.3,45,N,2,2019/10/1,0:05:23
Peking University,Freshman,Qiang Han,Male,185.3,87,N,3,2020/1/7,0:03:58
Fudan University,Senior,Chengpeng Zheng,Female,151.7,38,N,2,2019/11/1,0:03:39
Tsinghua University,Sophomore,Li Wang,Male,175,79,N,1,2019/10/7,0:04:12
Fudan University,Junior,Chunqiang Chu,Male,168.6,72,N,2,2019/10/16,0:03:58
Shanghai Jiao Tong University,Junior,Mei Zhang,Female,156.5,44,N,1,2019/9/13,0:04:38
Tsinghua University,Freshman,Gaoli Feng,Female,157.4,46,Y,1,2019/12/30,0:04:00
