班级,姓名,选科,语文,数学,英语,科目
1,吴刚,地理,100,74,95,98
1,卢楠,物理,101,77,103,136
1,唐秀兰,历史,79,73,84,105
1,张刚,化学,90,93,116,115
1,姜洋,历史,85,100,89,129
1,李彬,政治,111,84,90,100
1,龙晨,地理,89,96,99,108
1,张秀云,物理,95,69,75,107
1,刘婷婷,地理,80,93,85,116
1,袁云,历史,92,99,74,116
1,王丽丽,政治,82,92,86,75
1,赵桂芝,历史,89,104,88,116
1,陈柳,化学,69,59,85,106
1,邓云,生物,102,66,86,62
1,周峰,政治,82,103,95,67
1,葛丽,物理,75,75,95,111
1,陈秀荣,生物,94,114,98,67
1,吴欣,历史,87,95,99,125
1,徐丹丹,生物,102,118,78,56
1,赖玉兰,化学,91,61,125,92
1,陈云,化学,73,101,115,101
1,王莹,物理,108,105,85,138
1,任兰英,地理,101,122,99,114
1,李龙,历史,108,46,112,117
1,崔秀芳,地理,84,77,97,107
1,王秀英,化学,103,85,75,109
1,秦凯,化学,75,87,97,88
1,刘玉,生物,75,95,116,78
1,任丹,化学,88,71,115,95
1,孙玲,生物,83,71,90,46
1,文云,生物,71,79,91,78
1,吴娜,生物,88,65,99,74
1,王丹,物理,71,81,98,95
1,张帆,化学,76,82,95,113
1,吴宇,历史,81,60,84,100
1,王柳,生物,64,94,101,129
1,尹建平,化学,91,64,128,118
1,杜明,政治,104,73,99,79
1,何凤英,生物,79,107,94,95
1,秦利,地理,93,72,104,103
1,王婷,化学,85,96,95,71
1,郭莹,化学,103,95,92,99
1,周磊,化学,81,68,87,115
1,唐飞,地理,57,83,111,103
1,沈鹏,地理,92,87,113,118
1,陈建国,物理,83,103,110,125
1,任峰,生物,118,86,110,78
1,张玉英,化学,110,88,120,109
1,秦旭,地理,85,68,81,114
1,范建国,物理,85,80,94,132
1,武琳,物理,94,88,87,112
1,曾娜,地理,93,77,91,120
1,李莹,物理,92,62,95,137
1,赵想,地理,92,90,82,114
1,张彬,政治,100,79,104,102
1,郭秀荣,生物,75,73,95,77
1,程璐,政治,113,85,97,99
1,赵瑜,化学,99,71,113,122
1,翁秀华,历史,57,118,101,114
1,孙秀云,生物,115,118,90,71
1,黄荣,化学,77,77,102,102
1,余峰,历史,93,78,113,108
1,康小红,历史,86,84,103,123
1,刘桂荣,政治,85,55,107,96
1,鹿建军,政治,107,68,84,90
1,江艳,生物,106,62,112,105
1,刘丽,地理,91,111,119,103
1,刘莉,生物,113,80,82,53
1,邱浩,历史,72,86,100,123
1,齐鹏,地理,98,94,100,110
1,许欢,化学,84,67,96,109
1,王雷,地理,97,72,104,113
1,朱倩,化学,87,68,109,106
1,赵桂花,化学,93,88,93,115
1,刘波,化学,120,68,97,111
1,李建国,物理,82,125,104,115
1,王娟,物理,76,91,91,122
1,范明,政治,79,76,99,99
1,戴磊,历史,100,70,66,116
1,欧阳艳,物理,97,75,85,150
1,张欢,物理,126,91,96,104
1,李欢,化学,82,71,124,108
1,周颖,生物,89,70,82,68
