班级,姓名,选科,语文,数学,英语,科目
1,吴刚,地理,83,51,103,102
1,卢楠,物理,113,81,95,102
1,唐秀兰,历史,111,99,86,115
1,张刚,化学,111,84,87,108
1,姜洋,历史,96,85,84,96
1,李彬,政治,86,60,93,85
1,龙晨,地理,122,79,94,106
1,张秀云,物理,109,94,96,100
1,刘婷婷,地理,102,91,106,115
1,袁云,历史,89,106,94,89
1,王丽丽,政治,97,79,79,72
1,赵桂芝,历史,85,97,85,101
1,陈柳,化学,103,96,112,103
1,邓云,生物,106,70,98,107
1,周峰,政治,96,91,93,109
1,葛丽,物理,105,88,100,118
1,陈秀荣,生物,103,69,90,96
1,吴欣,历史,91,78,98,94
1,徐丹丹,生物,81,91,100,109
1,赖玉兰,化学,119,95,80,102
1,陈云,化学,118,89,95,114
1,王莹,物理,104,87,92,120
1,任兰英,地理,90,62,99,100
1,李龙,历史,101,85,88,121
1,崔秀芳,地理,69,80,88,111
1,王秀英,化学,101,97,100,108
1,秦凯,化学,88,108,85,109
1,刘玉,生物,107,82,77,112
1,任丹,化学,99,98,98,109
1,孙玲,生物,99,61,98,100
1,文云,生物,101,93,92,92
1,吴娜,生物,83,100,97,92
1,王丹,物理,113,77,97,113
1,张帆,化学,103,72,89,91
1,吴宇,历史,107,87,93,105
1,王柳,生物,100,109,92,111
1,尹建平,化学,105,100,96,101
1,杜明,政治,108,84,87,98
1,何凤英,生物,101,75,83,100
1,秦利,地理,132,94,93,116
1,王婷,化学,112,87,110,103
1,郭莹,化学,98,80,79,97
1,周磊,化学,123,61,89,111
1,唐飞,地理,103,90,85,107
1,沈鹏,地理,90,90,94,111
1,陈建国,物理,85,100,87,113
1,任峰,生物,98,79,101,96
1,张玉英,化学,121,71,81,101
1,秦旭,地理,77,97,99,99
1,范建国,物理,90,93,78,136
1,武琳,物理,102,98,90,108
1,曾娜,地理,85,89,89,97
1,李莹,物理,122,91,102,93
1,赵想,地理,95,76,98,93
1,张彬,政治,113,102,92,85
1,郭秀荣,生物,105,92,95,82
1,程璐,政治,85,100,86,111
1,赵瑜,化学,116,57,82,123
1,翁秀华,历史,89,57,88,126
1,孙秀云,生物,106,73,100,108
1,黄荣,化学,92,103,82,104
1,余峰,历史,95,76,97,99
1,康小红,历史,103,94,87,101
1,刘桂荣,政治,101,108,100,85
1,鹿建军,政治,117,72,83,99
1,江艳,生物,96,82,104,94
1,刘丽,地理,97,84,98,111
1,刘莉,生物,105,89,77,83
1,邱浩,历史,102,66,108,106
1,齐鹏,地理,120,69,93,104
1,许欢,化学,122,82,76,106
1,王雷,地理,110,91,98,116
1,朱倩,化学,94,98,90,130
1,赵桂花,化学,94,106,86,105
1,刘波,化学,104,72,97,115
1,李建国,物理,111,83,103,106
1,王娟,物理,90,84,97,117
1,范明,政治,87,88,86,101
1,戴磊,历史,100,99,101,91
1,欧阳艳,物理,117,95,96,103
1,张欢,物理,115,111,103,105
1,李欢,化学,75,92,85,122
1,周颖,生物,108,105,93,111
2,戴宇,政治,117,99,96,104
2,张丽娟,生物,121,98,82,73
2,符伟,化学,96,75,91,121
2,李飞,地理,121,108,87,104
2,蒋杰,政治,92,84,93,99
2,覃玉兰,历史,104,91,100,95
2,徐佳,化学,99,120,97,114
2,庄辉,地理,100,87,90,81
2,杨柳,化学,110,79,110,105
2,李晶,物理,90,100,79,104
2,梁志强,生物,101,77,93,107
2,向华,化学,94,69,88,100
2,葛飞,化学,93,61,99,109
2,张波,生物,72,115,99,115
2,尹金凤,地理,88,108,90,100
2,邓成,政治,99,107,86,87
2,韩婷婷,化学,97,88,95,114
2,喻刚,地理,108,81,89,101
2,李建平,化学,94,77,99,113
2,王波,历史,95,102,93,85
2,张建平,历史,99,132,76,105
2,林淑珍,化学,95,103,91,112
2,沈雷,化学,95,101,84,108
2,王淑珍,地理,122,82,93,95
2,邝建军,化学,87,82,91,102
2,张梅,化学,81,77,97,109
2,屈桂英,物理,95,86,95,110
2,张勇,物理,99,89,100,125
2,马建,化学,99,84,88,94
2,杨建国,物理,100,95,71,118
2,王静,地理,101,70,94,115
2,魏桂香,化学,84,85,75,86
2,郑雷,历史,75,67,88,96
2,蔡秀芳,历史,93,86,87,103
2,邓琳,地理,108,99,91,109
2,王淑英,化学,110,122,92,115
2,周凤兰,生物,117,99,93,99
2,戴玉梅,历史,92,89,83,90
2,陈颖,化学,95,86,89,99
