班级,姓名,选科,语文,数学,英语,科目
1,吴刚,地理,128,77,106,108
1,卢楠,物理,111,94,100,82
1,唐秀兰,历史,98,92,103,106
1,张刚,化学,94,73,99,113
1,姜洋,历史,110,89,119,111
1,李彬,政治,95,80,92,120
1,龙晨,地理,100,69,100,79
1,张秀云,物理,116,82,89,78
1,刘婷婷,地理,97,71,92,74
1,袁云,历史,103,82,103,103
1,王丽丽,政治,126,86,110,113
1,赵桂芝,历史,112,102,110,119
1,陈柳,化学,108,93,101,106
1,邓云,生物,95,104,105,95
1,周峰,政治,110,84,102,122
1,葛丽,物理,115,106,94,102
1,陈秀荣,生物,89,104,98,68
1,吴欣,历史,112,93,102,111
1,徐丹丹,生物,120,87,90,78
1,赖玉兰,化学,99,108,109,108
1,陈云,化学,95,105,111,112
1,王莹,物理,76,85,102,79
1,任兰英,地理,104,99,102,92
1,李龙,历史,102,86,98,101
1,崔秀芳,地理,92,71,106,78
1,王秀英,化学,98,98,109,100
1,秦凯,化学,99,92,106,102
1,刘玉,生物,97,86,111,86
1,任丹,化学,108,114,123,122
1,孙玲,生物,117,98,98,92
1,文云,生物,103,103,114,90
1,吴娜,生物,98,100,92,74
1,王丹,物理,85,102,109,82
1,张帆,化学,76,86,107,111
1,吴宇,历史,77,75,104,116
1,王柳,生物,97,87,101,90
1,尹建平,化学,108,82,116,99
1,杜明,政治,77,115,101,122
1,何凤英,生物,114,87,103,79
1,秦利,地理,98,99,116,96
1,王婷,化学,127,77,100,88
1,郭莹,化学,93,79,87,97
1,周磊,化学,99,115,110,104
1,唐飞,地理,116,110,98,96
1,沈鹏,地理,111,97,103,82
1,陈建国,物理,101,104,100,78
1,任峰,生物,122,95,103,84
1,张玉英,化学,111,108,119,110
1,秦旭,地理,113,100,102,81
1,范建国,物理,102,92,117,85
1,武琳,物理,106,109,105,68
1,曾娜,地理,124,89,102,85
1,李莹,物理,106,94,115,85
1,赵想,地理,104,89,104,105
1,张彬,政治,121,89,99,116
1,郭秀荣,生物,89,105,111,100
1,程璐,政治,89,86,107,120
1,赵瑜,化学,103,94,100,101
1,翁秀华,历史,90,91,102,111
1,孙秀云,生物,127,94,114,72
1,黄荣,化学,121,104,107,118
1,余峰,历史,110,105,104,118
1,康小红,历史,114,80,103,116
1,刘桂荣,政治,108,108,90,128
1,鹿建军,政治,101,120,108,140
1,江艳,生物,116,106,103,78
1,刘丽,地理,98,97,100,66
1,刘莉,生物,108,94,91,106
1,邱浩,历史,101,94,110,109
1,齐鹏,地理,112,105,107,79
1,许欢,化学,110,82,100,115
1,王雷,地理,100,105,113,79
1,朱倩,化学,78,89,102,117
1,赵桂花,化学,105,103,96,101
1,刘波,化学,114,89,102,121
1,李建国,物理,118,91,110,80
1,王娟,物理,115,93,113,84
1,范明,政治,99,100,93,127
1,戴磊,历史,92,88,111,111
1,欧阳艳,物理,109,80,105,81
1,张欢,物理,110,77,110,82
1,李欢,化学,82,96,99,98
1,周颖,生物,108,93,105,80
2,戴宇,政治,106,112,91,97
2,张丽娟,生物,104,89,107,87
2,符伟,化学,88,89,111,110
2,李飞,地理,105,100,111,118
2,蒋杰,政治,114,105,106,117
2,覃玉兰,历史,99,73,100,109
2,徐佳,化学,100,90,101,121
2,庄辉,地理,132,111,102,69
2,杨柳,化学,109,78,101,121
2,李晶,物理,104,96,114,78
2,梁志强,生物,114,87,105,85
2,向华,化学,92,87,107,99
2,葛飞,化学,103,80,109,107
2,张波,生物,115,95,98,73
2,尹金凤,地理,93,110,104,68
2,邓成,政治,106,108,109,106
2,韩婷婷,化学,108,90,100,115
2,喻刚,地理,96,93,103,72
2,李建平,化学,101,102,112,103
2,王波,历史,112,90,107,108
2,张建平,历史,112,104,105,112
2,林淑珍,化学,103,84,112,113
2,沈雷,化学,90,92,110,107
2,王淑珍,地理,101,79,96,102
2,邝建军,化学,101,92,112,115
2,张梅,化学,107,96,105,108
2,屈桂英,物理,82,81,104,76
2,张勇,物理,114,89,109,81
2,马建,化学,111,84,100,116
2,杨建国,物理,91,80,115,96
2,王静,地理,101,100,105,80
2,魏桂香,化学,125,96,113,105
2,郑雷,历史,88,87,110,110
2,蔡秀芳,历史,112,92,100,98
2,邓琳,地理,102,85,102,73
2,王淑英,化学,106,111,101,126
2,周凤兰,生物,116,68,96,90
2,戴玉梅,历史,94,107,102,117
2,陈颖,化学,75,101,96,116
2,李玉兰,生物,123,92,112,74
2,王桂珍,物理,105,91,102,69
2,吴秀兰,化学,87,102,104,114
2,冯小红,历史,115,85,116,101
2,王金凤,地理,100,104,102,88
2,项超,化学,102,88,104,109
2,李楠,历史,119,96,103,99
2,燕丽娟,历史,105,101,102,108
2,苏丽丽,化学,100,106,102,107
2,王欣,生物,102,94,106,83
2,张杰,化学,94,95,104,106
2,郎佳,地理,93,96,120,67
2,王亮,历史,103,77,108,98
2,高建,生物,96,93,112,92
2,方丽,化学,103,96,105,117
2,黄静,生物,118,98,105,79
2,罗秀荣,物理,111,80,107,86
2,李秀珍,化学,97,100,109,93
2,徐颖,化学,89,79,104,104
2,方建军,地理,98,104,118,71
2,杜文,地理,95,83,97,82
2,谷静,生物,99,82,107,88
2,叶晶,政治,87,80,105,103
2,何瑞,政治,100,94,99,127
2,段柳,政治,110,96,116,104
2,黄雪,物理,115,65,100,76
2,刘云,地理,108,103,119,78
2,马桂兰,化学,131,106,112,97
2,陈娟,地理,106,98,116,103
2,文桂珍,政治,100,92,108,141
2,罗艳,历史,105,86,104,107
2,刘宇,化学,120,88,111,108
2,秦瑞,物理,107,90,103,93
2,龙鑫,物理,87,85,90,83
2,邓红,生物,104,95,107,75
3,聂洁,生物,94,86,104,80
3,张利,物理,61,98,104,94
3,夏欣,生物,126,94,97,74
3,夏瑞,生物,110,104,96,70
3,纪旭,物理,103,98,97,93
3,黎桂芳,化学,120,93,107,111
3,黄萍,地理,107,92,123,72
3,颜峰,生物,95,96,104,74
3,赵璐,化学,109,80,111,118
3,李秀华,物理,79,90,100,81
3,殷志强,物理,107,85,107,82
3,张柳,地理,106,77,99,102
3,吴柳,生物,93,93,111,61
3,孙想,历史,106,95,110,118
3,孟莹,政治,97,96,106,126
3,张雪梅,地理,92,96,115,81
3,李杨,生物,93,94,110,86
3,樊欣,化学,119,98,108,116
3,韩桂英,化学,104,104,115,101
