School,Class,ID,Gender,Address,Height,Weight,Math,Physics
S_1,C_1,,M,street_1,173,,34,A+
S_1,C_1,,F,street_2,192,,32.5,B+
S_1,C_1,1103,M,street_2,186,,87.2,B+
S_1,,,F,street_2,167,81,80.4,
S_1,C_1,1105,,street_4,159,64,84.8,A-
S_1,C_2,1201,M,street_5,159,68,97,A-
S_1,C_2,1202,F,street_4,176,94,63.5,B-
S_1,C_2,,M,street_6,160,53,58.8,A+
S_1,C_2,1204,F,street_5,162,63,33.8,
S_1,C_2,1205,,street_6,167,,68.4,B-
S_1,C_3,1301,M,street_4,161,68,,B+
S_1,,1302,F,street_1,175,,87.7,A-
S_1,C_3,1303,M,street_7,188,82,49.7,B
S_1,C_3,1304,,street_2,195,70,85.2,
S_1,C_3,,F,street_5,187,69,61.7,B-
S_2,C_1,2101,M,street_7,159,84,,C
S_2,C_1,2102,F,street_6,161,,50.6,B+
S_2,C_1,2103,M,street_4,157,61,52.5,B-
S_2,,2104,F,street_5,159,97,72.2,B+
S_2,C_1,2105,M,street_4,170,,34.2,A
S_2,C_2,2201,M,street_5,193,,,B
S_2,C_2,2202,F,street_7,194,77,68.5,B+
S_2,C_2,2203,M,street_4,155,91,73.8,
S_2,C_2,,M,street_1,175,74,47.2,B-
S_2,C_2,2205,,street_7,159,76,,B
S_2,C_3,2301,F,street_4,157,78,72.3,B+
S_2,,2302,M,street_5,171,88,,A
S_2,C_3,2303,F,street_7,190,99,65.9,C
S_2,C_3,2304,F,street_6,164,81,95.5,A-
S_2,C_3,2305,M,street_4,187,73,48.9,B
S_2,C_4,2401,F,street_2,159,,45.3,A
S_2,C_4,2402,M,street_7,166,,48.7,B
S_2,C_4,2403,,street_6,158,,59.7,B+
S_2,C_4,2404,,street_2,160,,67.7,B
S_2,C_4,2405,,street_6,193,,47.6,B
